Country,Year,Water_Access_Percentage
India,2000,73.81
India,2005,75.13
India,2010,78.52
India,2015,79.44
India,2020,80.74
India,2022,81.81
USA,2000,75.83
USA,2005,77.8
USA,2010,80.63
USA,2015,81.92
USA,2020,85.49
USA,2022,84.96
Brazil,2000,78.13
Brazil,2005,79.79
Brazil,2010,80.23
Brazil,2015,85.02
Brazil,2020,84.99
Brazil,2022,84.81
Nigeria,2000,87.78
Nigeria,2005,90.17
Nigeria,2010,92.44
Nigeria,2015,92.85
Nigeria,2020,94.12
Nigeria,2022,97.25
China,2000,64.03
China,2005,65.99
China,2010,67.55
China,2015,68.27
China,2020,71.85
China,2022,75.27
Russia,2000,80.76
Russia,2005,82.99
Russia,2010,83.7
Russia,2015,87.73
Russia,2020,88.92
Russia,2022,86.35
South Africa,2000,77.29
South Africa,2005,78.44
South Africa,2010,82.03
South Africa,2015,84.02
South Africa,2020,82.3
South Africa,2022,84.6
Germany,2000,64.52
Germany,2005,66.65
Germany,2010,68.78
Germany,2015,70.15
Germany,2020,74.08
Germany,2022,73.46
France,2000,85.13
France,2005,86.23
France,2010,89.28
France,2015,91.02
France,2020,94.6
France,2022,92.34
Japan,2000,81.13
Japan,2005,83.41
Japan,2010,85.97
Japan,2015,84.7
Japan,2020,86.48
Japan,2022,87.02
Australia,2000,78.61
Australia,2005,80.22
Australia,2010,82.91
Australia,2015,85.57
Australia,2020,87.94
Australia,2022,84.41
Canada,2000,58.94
Canada,2005,60.1
Canada,2010,63.87
Canada,2015,62.98
Canada,2020,67.76
Canada,2022,69.13
Mexico,2000,56.1
Mexico,2005,57.54
Mexico,2010,60.73
Mexico,2015,60.74
Mexico,2020,61.11
Mexico,2022,66.75
Indonesia,2000,63.0
Indonesia,2005,64.42
Indonesia,2010,66.81
Indonesia,2015,68.08
Indonesia,2020,72.97
Indonesia,2022,75.06
Egypt,2000,89.61
Egypt,2005,91.87
Egypt,2010,94.48
Egypt,2015,95.22
Egypt,2020,96.15
Egypt,2022,96.78
Italy,2000,73.83
Italy,2005,76.1
Italy,2010,76.21
Italy,2015,81.04
Italy,2020,81.58
Italy,2022,79.25
Argentina,2000,60.03
Argentina,2005,62.31
Argentina,2010,62.42
Argentina,2015,63.92
Argentina,2020,69.95
Argentina,2022,70.96
Kenya,2000,59.8
Kenya,2005,61.34
Kenya,2010,63.35
Kenya,2015,65.06
Kenya,2020,68.18
Kenya,2022,67.75
Vietnam,2000,63.09
Vietnam,2005,65.54
Vietnam,2010,67.57
Vietnam,2015,69.59
Vietnam,2020,71.37
Vietnam,2022,73.98
Turkey,2000,76.3
Turkey,2005,78.41
Turkey,2010,79.24
Turkey,2015,82.46
Turkey,2020,84.51
Turkey,2022,86.99
Spain,2000,66.56
Spain,2005,69.06
Spain,2010,68.89
Spain,2015,72.13
Spain,2020,73.67
Spain,2022,78.39
UK,2000,63.35
UK,2005,64.47
UK,2010,65.87
UK,2015,69.77
UK,2020,70.97
UK,2022,73.41
Bangladesh,2000,83.4
Bangladesh,2005,85.3
Bangladesh,2010,88.26
Bangladesh,2015,87.73
Bangladesh,2020,90.44
Bangladesh,2022,89.04
Pakistan,2000,62.86
Pakistan,2005,65.01
Pakistan,2010,65.5
Pakistan,2015,66.56
Pakistan,2020,68.5
Pakistan,2022,73.2
Nepal,2000,63.78
Nepal,2005,64.89
Nepal,2010,67.91
Nepal,2015,70.67
Nepal,2020,68.29
Nepal,2022,74.03
Philippines,2000,75.64
Philippines,2005,76.76
Philippines,2010,78.53
Philippines,2015,79.36
Philippines,2020,85.46
Philippines,2022,87.89
Saudi Arabia,2000,67.95
Saudi Arabia,2005,69.44
Saudi Arabia,2010,70.92
Saudi Arabia,2015,75.07
Saudi Arabia,2020,75.13
Saudi Arabia,2022,77.85
South Korea,2000,70.41
South Korea,2005,71.61
South Korea,2010,73.95
South Korea,2015,74.59
South Korea,2020,75.63
South Korea,2022,80.94
Iran,2000,72.65
Iran,2005,73.84
Iran,2010,76.02
Iran,2015,77.01
Iran,2020,78.46
Iran,2022,78.23
Iraq,2000,67.05
Iraq,2005,68.59
Iraq,2010,70.5
Iraq,2015,74.53
Iraq,2020,74.2
Iraq,2022,73.41
Thailand,2000,85.44
Thailand,2005,87.65
Thailand,2010,88.77
Thailand,2015,89.16
Thailand,2020,89.98
Thailand,2022,97.45
Malaysia,2000,56.16
Malaysia,2005,57.49
Malaysia,2010,59.03
Malaysia,2015,60.89
Malaysia,2020,61.78
Malaysia,2022,65.1
Chile,2000,68.15
Chile,2005,69.17
Chile,2010,72.76
Chile,2015,75.38
Chile,2020,77.78
Chile,2022,79.58
Colombia,2000,60.19
Colombia,2005,61.85
Colombia,2010,62.59
Colombia,2015,66.95
Colombia,2020,69.67
Colombia,2022,72.02
Ethiopia,2000,59.36
Ethiopia,2005,61.44
Ethiopia,2010,63.21
Ethiopia,2015,65.82
Ethiopia,2020,64.04
Ethiopia,2022,67.7
Poland,2000,82.35
Poland,2005,84.06
Poland,2010,86.85
Poland,2015,86.07
Poland,2020,87.26
Poland,2022,94.37
Ukraine,2000,78.81
Ukraine,2005,81.2
Ukraine,2010,81.26
Ukraine,2015,85.91
Ukraine,2020,85.92
Ukraine,2022,87.16
Peru,2000,62.91
Peru,2005,64.58
Peru,2010,67.71
Peru,2015,66.54
Peru,2020,69.57
Peru,2022,73.46
Algeria,2000,64.07
Algeria,2005,65.91
Algeria,2010,67.58
Algeria,2015,70.27
Algeria,2020,73.32
Algeria,2022,76.29
